GeneID	Expression
CCNA_00272	False
CCNA_00896	False
CCNA_03611	False
CCNA_01195	False
CCNA_00135	False
CCNA_01487	False
CCNA_01492	False
CCNA_01645	False
CCNA_00057	False
CCNA_02296	False
CCNA_02787	False
CCNA_R0044	False
CCNA_00886	False
CCNA_01610	False
CCNA_R0188	False
CCNA_00770	False
CCNA_03273	False
CCNA_01966	False
CCNA_00234	False
CCNA_00492	False
CCNA_00773	False
CCNA_00919	False
CCNA_01348	False
CCNA_01381	False
CCNA_02298	False
CCNA_02495	False
CCNA_02903	False
CCNA_02947	False
CCNA_R0106	False
CCNA_02404	False
CCNA_00111	False
CCNA_02285	False
CCNA_03327	False
CCNA_02639	False
CCNA_03491	False
CCNA_02029	False
CCNA_R0006	False
CCNA_02380	False
CCNA_00149	False
CCNA_01828	False
CCNA_02923	False
CCNA_03076	False
CCNA_00441	False
CCNA_02229	False
CCNA_03564	False
CCNA_02417	False
CCNA_03407	False
CCNA_01382	False
CCNA_03158	False
CCNA_02151	False
CCNA_00965	False
CCNA_00348	False
CCNA_00470	False
CCNA_02920	False
CCNA_02858	False
CCNA_03999	False
CCNA_01778	False
CCNA_00128	False
CCNA_03731	False
CCNA_03479	False
CCNA_00826	False
CCNA_01261	False
CCNA_03807	False
CCNA_00233	False
CCNA_00497	False
CCNA_00865	False
CCNA_01359	False
CCNA_01391	False
CCNA_02447	False
CCNA_02722	False
CCNA_03045	False
CCNA_03601	False
CCNA_03806	False
CCNA_01444	False
CCNA_01976	False
CCNA_03069	False
CCNA_03159	False
CCNA_R0132	False
CCNA_01823	False
CCNA_01441	False
CCNA_01930	False
CCNA_00426	False
CCNA_00194	False
CCNA_00364	False
CCNA_00427	False
CCNA_02105	False
CCNA_02435	False
CCNA_02525	False
CCNA_03460	False
CCNA_03389	False
CCNA_00208	False
CCNA_02467	False
CCNA_02414	False
CCNA_03292	False
CCNA_03580	False
CCNA_03764	False
CCNA_02747	False
CCNA_01877	False
CCNA_00309	False
CCNA_03484	False
CCNA_00405	False
CCNA_00867	False
CCNA_02218	False
CCNA_01584	False
CCNA_02831	False
CCNA_00647	False
CCNA_01496	False
CCNA_R0014	False
CCNA_R0121	False
CCNA_03503	False
CCNA_00144	False
CCNA_01136	False
CCNA_02027	False
CCNA_01208	False
CCNA_02497	False
CCNA_03610	False
CCNA_00688	False
CCNA_00916	False
CCNA_01746	False
CCNA_02902	False
CCNA_00574	False
CCNA_01141	False
CCNA_00424	False
CCNA_01046	False
CCNA_01782	False
CCNA_02581	False
CCNA_02981	False
CCNA_03238	False
CCNA_00521	False
CCNA_00851	False
CCNA_01053	False
CCNA_01201	False
CCNA_01478	False
CCNA_02000	False
CCNA_02012	False
CCNA_02452	False
CCNA_02711	False
CCNA_00950	False
CCNA_01344	False
CCNA_03218	False
CCNA_00583	False
CCNA_00922	False
CCNA_02309	False
CCNA_03650	False
CCNA_03228	False
CCNA_02705	False
CCNA_01914	False
CCNA_02490	False
CCNA_03924	False
CCNA_03001	False
CCNA_01057	False
CCNA_02872	False
CCNA_01019	False
CCNA_02686	False
CCNA_01362	False
CCNA_01415	False
CCNA_02167	False
CCNA_00043	False
CCNA_01676	False
CCNA_02549	False
CCNA_03757	False
CCNA_00300	False
CCNA_02119	False
CCNA_03402	False
CCNA_01942	False
CCNA_03053	False
CCNA_02864	False
CCNA_01765	False
CCNA_02658	False
CCNA_03777	False
CCNA_01594	False
CCNA_01205	False
CCNA_02689	False
CCNA_03174	False
CCNA_00170	False
CCNA_00366	False
CCNA_00993	False
CCNA_01851	False
CCNA_01876	False
CCNA_03134	False
CCNA_03265	False
CCNA_03704	False
CCNA_03962	False
CCNA_R0035	False
CCNA_01387	False
CCNA_R0201	False
CCNA_01171	False
CCNA_02946	False
CCNA_00850	False
CCNA_02887	False
CCNA_01196	False
CCNA_03455	False
CCNA_01031	False
CCNA_00884	False
CCNA_02765	False
CCNA_03300	False
CCNA_00006	False
CCNA_00294	False
CCNA_01121	False
CCNA_01297	False
CCNA_01326	False
CCNA_01347	False
CCNA_01541	False
CCNA_01601	False
CCNA_01890	False
CCNA_01981	False
CCNA_02566	False
CCNA_02734	False
CCNA_02749	False
CCNA_00543	False
CCNA_02572	False
CCNA_00146	False
CCNA_02539	False
CCNA_03514	False
CCNA_03916	False
CCNA_R0092	False
CCNA_00001	False
CCNA_00723	False
CCNA_00839	False
CCNA_01152	False
CCNA_02365	False
CCNA_00539	False
CCNA_01242	False
CCNA_01855	False
CCNA_03619	False
CCNA_03191	False
CCNA_03167	False
CCNA_00953	False
CCNA_01790	False
CCNA_01844	False
CCNA_03382	False
CCNA_03314	False
CCNA_00065	False
CCNA_00199	False
CCNA_00383	False
CCNA_00562	False
CCNA_00665	False
CCNA_00858	False
CCNA_00909	False
CCNA_01022	False
CCNA_01094	False
CCNA_01100	False
CCNA_01288	False
CCNA_02540	False
CCNA_02650	False
CCNA_02682	False
CCNA_03156	False
CCNA_03204	False
CCNA_03253	False
CCNA_00882	False
CCNA_01232	False
CCNA_01853	False
CCNA_02505	False
CCNA_02640	False
CCNA_03858	False
CCNA_00532	False
CCNA_01187	False
CCNA_02662	False
CCNA_00987	False
CCNA_00667	False
CCNA_00945	False
CCNA_01558	False
CCNA_03931	False
CCNA_01055	False
CCNA_00515	False
CCNA_03163	False
CCNA_03250	False
CCNA_03957	False
CCNA_R0152	False
CCNA_03755	False
CCNA_02757	False
CCNA_00464	False
CCNA_01433	False
CCNA_02115	False
CCNA_02165	False
CCNA_02327	False
CCNA_02778	False
CCNA_03118	False
CCNA_03917	False
CCNA_R0071	False
CCNA_R0079	False
CCNA_02491	False
CCNA_00382	False
CCNA_01945	False
CCNA_02804	False
CCNA_02871	False
CCNA_03935	False
CCNA_01725	False
CCNA_01642	False
CCNA_01902	False
CCNA_00035	False
CCNA_00047	False
CCNA_03874	False
CCNA_01067	False
CCNA_01684	False
CCNA_03794	False
CCNA_01663	False
CCNA_01801	False
CCNA_01813	False
CCNA_03077	False
CCNA_03127	False
CCNA_03486	False
CCNA_03113	False
CCNA_01732	False
CCNA_01941	False
CCNA_01507	False
CCNA_02326	False
CCNA_01170	False
